id,company,role,link,deadline,amount,location,type,date_added,notes
cisco-corpstrategy-ca-2026,Cisco,Corporate Strategy Intern (Summer 2026),https://jobs.cisco.com/jobs/ProjectDetail/Corporate-Strategy-Manager/1449501?source=Cisco+Jobs+Career+Site&tags=CDC+Prof+engineering+software,rolling,$40/hr,"San Jose, CA (Hybrid)",Paid,2025-10-25,"Support strategic initiatives and business analysis; MBA or business undergrad preferred; Summer 2026"
cisco-pm-switching-ca-2026,Cisco,Product Manager Intern – Catalyst Switching (Summer 2026),https://jobs.cisco.com/jobs/ProjectDetail/Product-Manager-Catalyst-Switching/1451506?source=Cisco+Jobs+Career+Site&tags=CDC+Prof+engineering+pre+sales,rolling,$38/hr,"San Jose, CA (Hybrid)",Paid,2025-10-25,"Assist Catalyst team with feature planning and customer research; technical PM focus; rising juniors+"
nintendo-prodtest-wa-2026,Nintendo,Product Test Engineering Intern (Summer 2026),https://careers.nintendo.com/job-openings/listing/25000000E3.html?src=CWS-10000,rolling,$35/hr,"Redmond, WA (On-site)",Paid,2025-10-25,"Test and debug Nintendo hardware/software; programming experience in C/C++ preferred; Summer 2026"
nintendo-softwareeng-wa-2026,Nintendo,Software Engineering Intern (Summer 2026),https://careers.nintendo.com/job-openings/listing/25000000DX.html?src=CWS-10000,rolling,$35/hr,"Redmond, WA (On-site)",Paid,2025-10-25,"Develop internal tools and game software support; C++, Python, or Unity skills desired; rising juniors+"
cmu-itlab-pa-2026,Carnegie Mellon University ITLab,ITLab – Tech, Policy, and Data Analytics Fellowship (Summer 2026),https://www.heinz.cmu.edu/programs/itlab/itlab-application,2026-02-01,Stipend,"Pittsburgh, PA (Hybrid)",Paid,2025-10-25,"Interdisciplinary research experience; open to undergraduates nationwide; data and policy projects"
bcgx-datasci-us-2026,BCG X,Data Scientist Intern (Summer 2026),https://careers.bcg.com/global/en/job/55513/Data-Scientist-Internship-Campus-United-States-BCG-X,rolling,$45/hr,"Multiple Locations (US)",Paid,2025-10-25,"Apply ML and advanced analytics for client projects; Python, SQL, and ML experience preferred; Summer 2026"
bcgx-datasci-us-2026-dup,BCG X,Data Scientist Intern (Summer 2026),https://careers.bcg.com/global/en/job/55513/Data-Scientist-Internship-Campus-United-States-BCG-X,rolling,$45/hr,"Multiple Locations (US)",Paid,2025-10-25,"Duplicate listing (same as above); no changes made"
databricks-pm-sf-2026,Databricks,Product Management Intern (Summer 2026),https://boards.greenhouse.io/embed/job_app?token=6883068002&utm_source=jobright,rolling,$45/hr,"San Francisco, CA (Hybrid)",Paid,2025-10-25,"Open to rising juniors+ (Fall 2026 grad or later); must state work authorization; GPA bands asked; locations also in Mountain View & Bellevue"
amazon-opseng-co-2026,Amazon,Operations Engineer Intern (Colorado),https://www.amazon.jobs/en/jobs/3114416/2026-operations-engineer-intern-colorado,rolling,$30-$44/hr,"Loveland, CO (On-site)",Paid,2025-10-25,"Fulfillment center–based engineering internship; rising juniors+; US work authorization required"
meta-swe-nyc-2026,Meta,Software Engineer Intern (Summer 2026),https://www.metacareers.com/jobs/1092822929374881/,rolling,$47/hr,"New York, NY / Menlo Park, CA / Remote (US)",Paid,2025-10-25,"Open to juniors+ in CS or related field; proficiency in C++, Java, or Python; Summer 2026 start"
hp-swe-ca-2026,HP,Software Engineering Intern (Summer 2026),https://apply.hp.com/careers?pid=30530016,rolling,$32/hr,"Palo Alto, CA (Hybrid)",Paid,2025-10-25,"Develop and test features for HP printing software; Python/JavaScript preferred; rising juniors+"
hp-datasci-ca-2026,HP,Data Science Intern (Summer 2026),https://apply.hp.com/careers?pid=30530016,rolling,$32/hr,"Palo Alto, CA (Hybrid)",Paid,2025-10-25,"Assist with ML data pipelines; strong Python and statistics foundation required; Summer 2026"
intuit-cyber-mv-2026,Intuit,Cyber Security Intern (Summer 2026),https://jobs.intuit.com/job/mountain-view/summer-2026-cyber-security-intern/27595/87369447136,rolling,$40/hr,"Mountain View, CA (Hybrid)",Paid,2025-10-25,"Join Intuit’s cybersecurity team; focus on threat detection and risk management; rising juniors+"
oracle-pm-ca-2026,Oracle,Product Manager Intern (Summer 2026),https://careers.oracle.com/en/sites/jobsearch/job/308450,rolling,$38/hr,"Redwood City, CA (Hybrid)",Paid,2025-10-25,"Assist with cloud product roadmap planning; strong analytical and communication skills required"
lyft-swe-sf-2026,Lyft,Software Engineer Intern (Summer 2026),https://app.careerpuck.com/job-board/lyft/job/8101911002?gh_jid=8101911002,rolling,$43/hr,"San Francisco, CA (Hybrid)",Paid,2025-10-25,"Collaborate on scalable backend systems; proficiency in Python or Go preferred; Summer 2026 start"
lyft-datasci-sf-2026,Lyft,Data Science Intern (Summer 2026),https://app.careerpuck.com/job-board/lyft/job/8093248002?gh_jid=8093248002,rolling,$42/hr,"San Francisco, CA (Hybrid)",Paid,2025-10-25,"Analyze mobility data to optimize pricing and routing; SQL, Python, and stats background preferred"
autodesk-uxcontent-2026,Autodesk,Autodesk User Experience Content Design Intern,https://autodesk.wd1.myworkdayjobs.com/uni/job/San-Francisco-CA-USA/Intern--User-Experience-Content-Design_25WD91783-1?src=JB-10065&source=LinkedIn,2026-03-01,$36/hr,"San Francisco, CA",Paid,2025-10-21,"Collaborate on UX writing and content strategy across design teams"
